No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
4981,OIIM,O2Micro International Limited,Technology,Electronic Components,Cayman Islands,89.72,202.35,22.19,10.65,1.34,1.25,2.17,,,0.00%,0.02,-343.90%,287.50%,19.10%,19.00%,-0.90%,113.30%,21.00%,27,25.64,6.10%,0.00%,36.70%,1.16%,0.10%,0.12,0.50%,0.60%,-9.40%,4.8,3.9,0,0.1,52.90%,-2.10%,0.60%,11.69%,19.44%,112.35%,181.97%,159.62%,96.57%,0.96,0.2,7.85%,6.36%,12.31%,17.95%,85.29%,-12.24%,72.00%,-12.24%,251.02%,60.85,-4.44%,1.69%,,208.88,0.32,3.44,-2.82%,66419,7/31/2020 8:30:00 AM,4,8/23/2000,3.5,1.74%
2602,FPL,First Trust New Opportunities MLP & Energy Fund,Financial,Asset Management,USA,89.7,,,,,,,,12.90%,,,,,,,,,,25.72,,6.68%,0.00%,31.63%,,,0.21,,,,,,,,,,,-2.01%,-11.46%,-17.53%,-5.21%,-61.58%,-62.61%,,0.1,2.50%,2.60%,-7.19%,-11.92%,-37.20%,-18.50%,0.82%,-63.78%,34.17%,28.58,-1.18%,-1.94%,,142.5,0.85,3.49,-3.10%,119964,,,3/27/2014,3.5,0.34%
4229,MAGS,Magal Security Systems Ltd.,Industrials,Security & Protection Services,Israel,89.4,25.89,,,1.08,1.04,1.65,,,0.00%,0.15,-21.80%,,-13.80%,,2.30%,179.10%,-17.90%,23.15,13.29,47.90%,0.00%,60.20%,-3.50%,0.06%,0.17,2.70%,3.90%,5.10%,3.5,3,0,0,45.50%,7.00%,4.00%,0.00%,8.93%,26.85%,33.10%,-7.80%,0.80%,1.01,0.15,3.50%,4.21%,5.25%,10.52%,13.53%,-15.06%,32.17%,-15.06%,53.66%,61.13,0.53%,0.80%,,43.82,0.48,3.78,1.34%,20818,8/13/2020 8:30:00 AM,,3/23/1993,,
6775,TSQ,"Townsquare Media, Inc.",Communication Services,Advertising Agencies,USA,89.38,,6.74,,0.23,1.41,1.28,4.28,6.42%,,-5.73,-20.60%,685.70%,-8.40%,12.00%,2.90%,-389.30%,-34.50%,27.59,10.38,27.63%,0.00%,61.00%,1.55%,1.09%,5.84,-18.20%,-86.50%,-3.10%,2.2,2.2,5.93,5.93,25.50%,-44.80%,-40.60%,-2.30%,0.21%,3.32%,4.01%,-28.04%,-53.16%,1.72,0.12,2.06%,2.43%,-1.42%,-0.07%,-22.50%,-6.60%,7.36%,-54.84%,31.92%,48,1.08%,-0.86%,2.5,19.4,0.55,4.67,0.21%,10756,8/10/2020 8:30,,7/24/2014,4.67,0.00%
6840,UAN,"CVR Partners, LP",Basic Materials,Agricultural Inputs,USA,89.16,,,,0.25,0.26,2.73,,49.35%,,-0.97,30.10%,5.90%,-18.10%,8.00%,6.20%,-319.60%,-23.70%,113.17,72.17,34.49%,0.00%,35.90%,-6.69%,0.13%,0.58,-9.80%,-27.10%,2.60%,2.2,1.2,1.78,1.78,27.10%,-13.30%,-31.10%,3.76%,-8.93%,-8.93%,-12.84%,-77.85%,-73.85%,1.36,0.05,7.19%,5.18%,-4.18%,-10.54%,-43.17%,-29.52%,6.64%,-79.22%,35.09%,42.39,-5.75%,-0.91%,3,162.55,0.78,0.81,-6.61%,126334,8/3/2020 16:30,1,4/8/2011,0.82,1.17%
4014,LAIX,LAIX Inc.,Consumer Defensive,Education & Training Services,China,88.68,,,,0.61,,1.56,,,,-2.09,-8.20%,13.50%,,,,-5.10%,-2.50%,49.34,29.71,0.61%,0.00%,36.80%,-0.07%,0.04%,0.37,-82.50%,184.90%,180.50%,0.4,0.4,,,69.40%,-72.40%,-71.50%,-8.44%,-19.73%,-29.80%,-48.12%,-60.31%,-63.17%,,0.13,7.70%,4.91%,-10.26%,-26.08%,-48.78%,-41.31%,1.13%,-77.60%,1.13%,26.32,-1.65%,0.55%,4,30.76,2.48,1.79,-1.10%,74180,8/26/2020 4:30:00 PM,1.49,9/27/2018,,
5804,RNET,"RigNet, Inc.",Energy,Oil & Gas Equipment & Services,USA,88.62,,,,0.37,7.19,5.68,,,,-1.6,70.20%,-280.00%,-25.40%,3.00%,-6.00%,34.70%,-11.40%,20.51,14.93,2.20%,0.00%,71.30%,-16.53%,8.14%,0.91,-13.80%,-108.80%,-8.30%,1.7,1.5,8.78,9.5,37.40%,-8.40%,-13.60%,1.68%,-18.93%,135.56%,226.15%,-37.83%,-35.76%,2.32,0.45,8.40%,9.93%,-7.91%,8.26%,34.84%,-26.77%,119.69%,-44.90%,450.65%,50.74,2.66%,0.73%,1,1329.19,0.06,4.24,3.41%,78996,8/6/2020 16:30,,12/15/2010,,
5428,PROV,"Provident Financial Holdings, Inc.",Financial,Banks - Regional,USA,88.61,11.7,,,2.08,0.71,0.71,24.61,4.73%,54.40%,1.01,74.50%,,-1.00%,-13.00%,1.40%,107.50%,-10.20%,7.44,5.93,0.30%,0.00%,60.50%,-0.66%,0.53%,3.46,0.70%,6.20%,26.80%,,,0,0,,86.10%,18.10%,0.51%,-3.19%,-7.87%,-10.65%,-41.26%,-45.98%,0.52,0.29,2.07%,2.39%,-1.12%,-2.89%,-22.93%,-12.37%,3.77%,-48.54%,3.77%,46.52,-0.59%,0.00%,1.7,9.15,0.45,11.83,-0.59%,4186,7/28/2020 8:30:00 AM,15.5,6/28/1996,11.83,0.00%
2025,EMAN,eMagin Corporation,Technology,Semiconductor Equipment & Materials,USA,88.56,,,,2.98,4.17,16.4,,,,-0.09,58.40%,23.10%,16.20%,20.00%,0.80%,-4.20%,42.60%,67.38,58.33,7.97%,0.00%,22.90%,-1.48%,4.00%,0.61,-15.70%,-26.90%,-27.00%,2.3,1.4,0.09,0.14,28.90%,-11.10%,-15.90%,1.63%,-13.19%,45.76%,539.06%,240.32%,263.58%,1.83,0.11,5.68%,8.45%,-0.79%,-3.59%,81.28%,-34.21%,50.15%,-34.21%,792.86%,50.96,-2.34%,0.79%,2,3810.86,0.18,1.25,-1.57%,704226,8/13/2020 8:30:00 AM,2,1/21/2000,1.25,0.00%
449,ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Silver,Canada,88.43,,9.71,,3.03,1.44,8.5,,,,-0.04,-223.10%,425.00%,-19.50%,,10.50%,-458.50%,-38.50%,87.21,83.53,0.70%,0.00%,7.95%,,0.93%,0.36,-39.70%,-52.70%,-6.20%,2.9,2.4,0.02,0.09,3.50%,-11.30%,,0.00%,-13.56%,27.12%,221.77%,78.13%,76.75%,1.38,0.07,4.52%,6.82%,-5.62%,-9.77%,49.61%,-31.54%,18.84%,-31.54%,299.84%,42.83,-0.97%,3.77%,2,2149.08,0.31,1.02,2.76%,679113,8/11/2020 16:30,,10/17/2003,1.01,-0.98%
5705,RENN,Renren Inc.,Consumer Cyclical,Auto & Truck Dealerships,China,88.17,,,,0.25,0.91,14.94,,,,-2.19,66.50%,,-20.80%,,49.60%,44.60%,199.50%,23.31,2.95,50.07%,0.00%,13.60%,1.61%,19.24%,1.76,-13.90%,-34.80%,-142.60%,0.7,0.5,0,0.3,0.80%,-55.10%,-14.60%,19.47%,117.74%,8.87%,476.92%,73.10%,62.65%,1.39,0.43,12.23%,23.01%,58.51%,59.75%,77.65%,-9.60%,275.00%,-26.36%,800.00%,70.72,0.75%,0.25%,,323.56,0.26,4.05,1.00%,84729,,1.7,5/4/2011,4.05,0.00%
1097,CCRC,"China Customer Relations Centers, Inc.",Technology,Information Technology Services,China,88.15,5.96,,,0.51,1.2,3.48,125.93,,0.00%,0.71,-18.90%,,44.20%,,32.40%,70.60%,84.70%,18.33,12.01,34.51%,0.00%,0.20%,-27.79%,0.12%,3.77,16.40%,23.30%,14.80%,2.8,2.8,0,0.07,22.40%,7.30%,7.50%,0.95%,5.21%,-8.42%,-18.77%,-55.88%,-55.60%,0.57,0.36,8.33%,7.92%,-6.36%,-4.05%,-31.54%,-24.29%,14.47%,-73.73%,27.71%,46.69,-0.70%,1.43%,,3.66,0.78,4.24,0.71%,2855,,,12/21/2015,,
1135,CEMI,"Chembio Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,87.25,,,,3.06,2.37,2.4,,,,-1.16,-48.00%,53.30%,-46.60%,25.00%,4.50%,-120.70%,-48.50%,18.87,17.3,19.10%,0.00%,43.70%,6.97%,24.78%,0.83,-33.90%,-76.90%,-30.50%,3.8,2.8,0.47,0.47,26.50%,-65.00%,-71.90%,16.31%,24.36%,16.03%,-28.78%,-15.80%,6.36%,2.13,0.35,7.05%,8.65%,12.89%,1.33%,-19.45%,-22.65%,55.45%,-69.48%,115.56%,54.96,0.41%,-0.62%,3,5160.07,0.31,4.85,-0.21%,1631083,8/6/2020 16:30,5,10/18/2000,4.86,0.21%
2664,FTFT,Future FinTech Group Inc.,Technology,Software - Application,China,87.1,,,,108.87,4.4,145.16,,,0.00%,-0.53,94.70%,,-16.90%,15.00%,-60.50%,43.10%,-66.70%,33.34,16.62,73.61%,0.00%,0.30%,25.32%,1.41%,0.66,166.60%,-273.80%,14.20%,0.1,0.1,0,0.18,76.50%,,,19.57%,17.65%,76.00%,77.42%,182.09%,388.78%,2.22,0.18,8.83%,9.23%,6.67%,-3.48%,61.35%,-26.17%,25.00%,-41.18%,423.81%,53.76,1.38%,-0.91%,3,356.9,0.1,2.2,0.46%,37391,,,4/15/2003,2.19,-0.45%
4804,NRBO,"NeuroBo Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,87.04,,,,,7.41,6.09,,,,-8.6,90.50%,-1.20%,-33.90%,,,60.30%,,16.3,15.74,2.68%,0.00%,6.90%,139.86%,0.79%,2.41,-199.10%,-277.00%,,4.9,4.9,0,0,,,,4.07%,-6.79%,-34.38%,-60.55%,-35.68%,-35.66%,0.66,0.35,5.98%,5.97%,-4.20%,-10.41%,-47.12%,-30.86%,7.03%,-81.23%,7.03%,41.78,0.00%,0.18%,1.5,51.88,0.13,5.63,0.18%,7148,,,8/5/2016,5.63,0.00%
4196,LUB,"Luby's, Inc.",Consumer Cyclical,Restaurants,USA,86.86,,,,0.34,1.33,6.16,,,,-1.53,48.70%,,-55.60%,7.00%,-3.90%,-363.50%,-74.60%,30.4,18.88,4.90%,0.00%,35.90%,1.35%,14.01%,0.9,-23.50%,-52.60%,-6.50%,0.7,0.7,0.87,0.97,63.90%,-15.80%,-18.20%,13.83%,150.43%,100.00%,364.52%,56.52%,30.91%,0.71,0.21,6.78%,11.48%,26.23%,80.39%,87.44%,-2.04%,219.96%,-2.04%,526.09%,78.46,3.60%,-2.80%,,2942.69,0.16,2.88,0.70%,478069,,,2/22/1982,2.79,-3.13%
828,BNGO,"Bionano Genomics, Inc.",Healthcare,Diagnostics & Research,USA,86.69,,,,10.32,10.42,5.04,,,,-1.25,-8.20%,45.90%,,,,87.40%,-45.50%,144.65,136.15,10.41%,0.00%,3.50%,133.87%,3.99%,0.25,-137.40%,,-114.90%,1.3,1.1,0.31,2.71,34.40%,,,5.99%,11.43%,28.57%,140.66%,0.05%,-49.60%,,0.05,7.60%,8.85%,7.93%,-7.31%,-9.35%,-46.12%,32.00%,-86.70%,150.00%,50.84,-0.79%,-3.08%,1.5,21337.8,0.22,0.63,-3.85%,4980241,8/13/2020 4:30:00 PM,,9/21/2018,0.63,0.48%
6077,SGOC,"SGOCO Group, Ltd.",Industrials,Conglomerates,Hong Kong,86.52,,,,15.73,0.63,21.63,,,,-0.24,-5.10%,,14.20%,,-33.70%,,700.00%,101.79,30.54,56.30%,0.00%,0.06%,22.58%,0.31%,5.8,-11.80%,-15.30%,-29.20%,2.2,2.2,0.05,0.05,25.40%,,,0.00%,-6.14%,-20.56%,-6.59%,-10.88%,-10.54%,-0.5,0.08,6.98%,9.17%,-4.45%,-10.64%,-11.37%,-38.41%,10.39%,-39.29%,18.65%,45.24,0.00%,-1.16%,,16.48,0.25,0.85,-1.16%,4052,,,4/9/2008,,
6954,USAK,"USA Truck, Inc.",Industrials,Trucking,USA,86.32,,11.42,,0.17,1.13,863.22,3.79,,,-1.12,-137.10%,1314.30%,-23.90%,27.60%,-2.80%,,-7.40%,8.82,6.9,7.90%,0.00%,55.20%,-2.00%,0.69%,0.77,-2.80%,-12.40%,1.00%,0.9,0.9,2.02,2.4,52.20%,-1.00%,-1.90%,-3.00%,-15.49%,15.46%,179.83%,22.45%,30.34%,2.27,0.66,5.50%,6.77%,-10.31%,-9.27%,36.93%,-24.44%,16.43%,-24.44%,311.44%,40.2,2.43%,0.32%,2,61.36,0.59,9.71,2.75%,36730,7/27/2020 4:30:00 PM,12.25,3/19/1992,9.71,0.00%
4155,LPCN,Lipocine Inc.,Healthcare,Biotechnology,USA,86.2,,,,430.98,5.23,4.71,,,,-0.5,8.00%,97.10%,20.60%,,,53.90%,,65.69,63.81,3.68%,0.00%,6.60%,18.83%,5.11%,0.79,-90.80%,-221.30%,-96.30%,5.5,5.5,0.31,0.48,,,,-0.73%,-2.86%,3.82%,223.04%,-48.29%,253.34%,0.5,0.14,5.21%,9.01%,-2.67%,-16.21%,50.56%,-43.10%,20.35%,-58.15%,351.83%,42.77,-2.86%,-0.71%,2.5,4122.05,0.24,1.36,-3.55%,983170,,,6/15/2012,1.37,0.74%
440,ASFI,"Asta Funding, Inc.",Financial,Credit Services,USA,85.8,26.69,,2.67,5.14,0.95,20.43,,,0.00%,0.49,-15.80%,,19.30%,10.00%,-18.90%,-80.90%,-35.80%,6.57,1.92,62.14%,0.00%,21.20%,35.19%,0.30%,0.54,3.50%,3.60%,6.20%,,,0,0.01,,18.70%,19.40%,0.00%,0.46%,17.41%,67.48%,87.12%,26.62%,0.58,0.02,0.09%,0.14%,0.03%,0.44%,16.42%,-2.21%,1.08%,-2.21%,100.92%,56.28,0.00%,-0.15%,,10.7,0.11,13.08,-0.15%,1331,,,11/14/1995,,
913,BSE,BlackRock New York Municipal Income Quality Trust,Financial,Closed-End Fund - Debt,USA,85.28,7.74,,,14.56,0.84,,,4.43%,,1.69,,,,,,70.80%,-0.50%,6.52,,0.03%,0.00%,33.29%,,,0.25,,,,,,,,,,,-0.15%,-2.24%,-2.02%,8.91%,-4.73%,-4.87%,,0.09,0.54%,0.63%,-1.09%,-2.71%,-0.82%,-6.44%,0.23%,-7.82%,30.80%,31.67,-0.15%,0.23%,,9.46,0.77,13.08,0.08%,7820,,,10/29/2002,13.13,0.38%
6944,URG,Ur-Energy Inc.,Energy,Uranium,USA,85.23,,,,3.51,2.03,,,,,-0.05,-276.00%,,5.00%,35.00%,1.90%,-9.20%,-40.00%,160.48,155.19,3.36%,0.00%,22.10%,-8.09%,2.12%,6.12,-9.00%,-19.10%,,3.5,1.6,0.29,0.34,2.80%,-35.60%,-32.80%,-4.49%,-17.83%,-5.90%,33.10%,-16.78%,-17.32%,1.45,0.03,5.83%,6.00%,-8.71%,-11.98%,-6.84%,-23.97%,2.44%,-31.95%,79.56%,36.92,1.27%,0.10%,2,536.87,0.28,0.49,1.38%,149105,8/5/2020 8:30,,1/19/2006,0.48,-1.36%
851,BORR,Borr Drilling Limited,Energy,Oil & Gas Drilling,Bermuda,85.08,,,,0.22,0.04,,,,,-3.26,41.50%,46.60%,,,,,-3.00%,156.97,102.59,26.90%,0.00%,58.64%,,1.69%,1.1,,,,,,,,,,,-24.20%,-35.48%,-51.17%,12.92%,-88.36%,-94.01%,,0.07,9.68%,8.86%,-26.57%,-38.17%,-76.59%,-52.87%,0.37%,-94.06%,123.41%,16.13,8.62%,-9.27%,3,1566.34,1.85,0.54,-1.45%,2892691,,1.1,5/22/2018,0.54,-0.37%
5918,SACH,Sachem Capital Corp.,Real Estate,REIT - Mortgage,USA,85.08,11.69,11.62,,5.71,1.03,18.5,141.81,12.15%,106.50%,0.34,-36.70%,-1.45%,20.20%,,51.90%,65.90%,43.30%,22.12,18.72,0.10%,0.00%,11.50%,-14.44%,0.36%,0.97,5.60%,9.00%,4.50%,,,0.67,0,71.10%,51.00%,50.50%,3.95%,11.90%,34.35%,135.12%,-15.60%,-8.99%,1.46,0.15,2.79%,3.93%,5.07%,9.57%,19.79%,-2.95%,30.36%,-19.39%,229.17%,60.59,-0.75%,0.25%,1.5,69.8,0.26,3.95,-0.50%,18234,,4.63,2/10/2017,3.92,-0.76%
1752,DMAC,DiaMedica Therapeutics Inc.,Healthcare,Biotechnology,USA,84.93,,,,,5.94,7.32,,,,-0.77,-20.00%,,13.60%,,,15.10%,,18.74,16.85,1.20%,0.00%,22.60%,2.67%,0.12%,0.38,-83.60%,-93.80%,,10.2,10.2,0,0,,,,21.48%,1.50%,-33.57%,82.69%,115.91%,-2.06%,2.07,0.39,11.27%,8.84%,12.24%,-3.70%,2.96%,-31.15%,26.03%,-46.02%,179.41%,57.52,16.88%,-4.15%,,53.69,2.74,4.75,12.03%,142121,8/11/2020 16:30,,1/4/2008,4.8,1.05%
7377,WTER,The Alkaline Water Company Inc.,Consumer Defensive,Beverages - Non-Alcoholic,USA,84.76,,,,1.88,15.11,23.54,,,,-0.28,-27.70%,35.50%,35.90%,,61.90%,57.40%,39.20%,57.23,41.26,8.80%,0.00%,6.10%,16.81%,4.35%,1.14,-82.70%,-281.70%,-161.60%,1.3,1.1,0.04,0.92,41.10%,-27.10%,-28.30%,12.40%,-10.53%,-18.07%,154.82%,-8.72%,7.09%,2.86,0.12,10.76%,8.32%,1.57%,-15.95%,4.73%,-44.03%,17.24%,-47.69%,240.00%,45.71,5.43%,2.38%,2.3,1580.28,1.43,1.36,7.94%,2262811,8/13/2020 4:30:00 PM,,5/28/2013,1.4,2.94%
3848,JT,Jianpu Technology Inc.,Financial,Credit Services,China,84.41,,,,0.35,0.49,0.83,,,,-0.32,-119.50%,37.50%,,,,-156.70%,-61.00%,169,130.49,4.25%,0.00%,27.00%,-4.07%,0.88%,5.1,-17.80%,-26.90%,-36.60%,2.9,2.9,0,0.05,91.80%,-28.20%,-22.30%,-9.23%,-19.25%,-24.03%,-38.75%,-80.32%,-67.11%,,0.07,21.23%,14.35%,-9.50%,-18.05%,-45.21%,-34.43%,40.00%,-80.78%,40.00%,35.69,-0.67%,-3.01%,2,226.53,0.51,0.49,-3.66%,115832,,,11/16/2017,,
2568,FNHC,FedNat Holding Company,Financial,Insurance - Property & Casualty,USA,84.24,,4.8,,0.18,0.39,0.51,1.44,5.77%,,-1.57,-93.30%,166.00%,-51.80%,20.00%,15.60%,-383.80%,27.30%,13.71,9.79,9.40%,0.00%,57.00%,-3.18%,0.87%,1.84,-1.80%,-9.10%,3.40%,,,0.44,0.44,,-5.80%,-4.70%,-4.00%,-24.91%,-40.91%,-44.04%,-54.95%,-62.48%,0.96,0.4,7.38%,5.50%,-17.22%,-27.90%,-47.20%,-40.34%,-0.95%,-63.01%,-0.95%,25.03,-2.50%,1.27%,2.7,46.16,2.15,6.24,-1.27%,98558,8/5/2020 16:30,11,11/5/1998,6.24,0.00%
6962,USDP,USD Partners LP,Industrials,Railroads,USA,84.06,,,,0.72,,27.12,,14.01%,,-1.06,-69.60%,,19.50%,,25.80%,23.10%,2.20%,26.84,6.14,42.06%,0.00%,36.20%,-15.44%,0.29%,0.26,-10.50%,-174.10%,7.80%,1.2,,,,67.40%,-12.30%,-24.20%,6.80%,-2.79%,1.29%,3.63%,-69.72%,-68.31%,1.34,0.18,5.21%,5.01%,0.01%,-6.91%,-39.31%,-25.77%,10.18%,-70.74%,214.00%,47.19,-0.63%,0.00%,1,69.9,0.71,3.14,-0.63%,49860,,,10/9/2014,,
364,APM,Aptorum Group Limited,Healthcare,Biotechnology,United Kingdom,83.84,,,,139.73,4.38,19.5,,,,-0.54,-21.20%,1.60%,,,,71.00%,36.50%,29.96,6.3,37.66%,0.00%,0.20%,-29.26%,0.64%,0.03,-54.00%,-67.10%,-103.00%,2,2,0.01,0.01,-38.00%,,,131.20%,40.98%,-24.15%,-8.69%,-82.14%,-81.77%,,1.18,56.38%,23.89%,60.64%,8.05%,-51.58%,-79.69%,149.14%,-84.16%,149.14%,55.51,6.64%,1.12%,2,1376.25,3.74,2.89,7.84%,4896672,,,12/18/2018,2.87,-0.69%
268,AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,China,82.71,,,,1.02,3.43,2.63,,,,-0.47,-312.80%,,1.20%,25.00%,7.20%,125.40%,-23.90%,21.79,0.01,85.00%,0.00%,0.20%,-56.32%,71.07%,0.01,-6.70%,-37.00%,-66.10%,0.7,0.7,0,0,30.20%,-13.50%,-12.60%,127.01%,71.74%,123.16%,98.49%,93.33%,99.49%,,0.71,57.96%,21.46%,72.69%,55.74%,82.87%,-38.57%,142.33%,-38.57%,259.09%,64.01,0.00%,-21.78%,,799.28,0.6,3.95,-21.78%,480292,,,8/5/2010,3.9,-1.27%
727,BHR,"Braemar Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,USA,81.42,,,,0.22,0.26,0.79,,,,-1.87,-75.50%,58.40%,-49.90%,15.30%,9.70%,-531.50%,-89.10%,32.91,26.07,2.80%,0.00%,47.40%,-24.20%,1.92%,0.98,-3.50%,-17.50%,4.30%,,,3.58,3.58,65.50%,-2.20%,-16.50%,5.46%,4.15%,-10.04%,102.42%,-72.55%,-71.89%,2.51,0.17,5.89%,6.29%,0.00%,-0.06%,-41.36%,-20.32%,12.05%,-75.84%,120.18%,50.95,-0.40%,0.80%,2.4,509.73,0.43,2.51,0.40%,225134,,,11/6/2013,2.54,1.20%
4442,MNK,Mallinckrodt plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,81.17,,0.24,,0.03,0.08,0.1,0.2,,,-25.72,72.20%,-36.59%,-51.60%,-11.70%,1.60%,,-14.90%,84.5,82.07,0.70%,0.00%,66.60%,-18.09%,52.33%,7.64,-21.10%,-108.60%,-10.50%,1.5,1.2,5.39,5.41,44.40%,-71.10%,-73.50%,-15.80%,-36.01%,-60.50%,-46.67%,-60.50%,-72.50%,2.96,0.16,17.88%,13.56%,-20.88%,-37.44%,-66.73%,-64.05%,18.51%,-85.05%,18.51%,36.88,1.04%,-2.39%,3.5,5622.63,0.37,0.96,-1.38%,2089824,8/4/2020 8:30,1.5,6/17/2013,0.96,0.00%
2296,FARM,Farmer Bros. Co.,Consumer Defensive,Packaged Foods,USA,80.59,,,,0.16,0.7,1.34,,,,-2.17,49.90%,83.70%,-24.46%,30.00%,-1.70%,-9.70%,-42.90%,17.34,13.65,2.00%,0.00%,93.30%,-3.74%,4.19%,4.5,-9.00%,-24.70%,-15.80%,2.7,1.7,1.09,0,27.60%,-7.40%,-7.50%,0.67%,-30.08%,-36.21%,-33.58%,-65.91%,-70.05%,1.33,0.39,5.92%,6.57%,-15.46%,-22.49%,-49.07%,-42.91%,4.88%,-74.05%,4.88%,38.01,-1.42%,3.51%,3,127.1,0.65,4.51,2.04%,83371,9/10/2020 16:30,,3/17/1980,4.52,0.22%
1425,CPSS,"Consumer Portfolio Services, Inc.",Financial,Credit Services,USA,80.41,5.19,5.05,0.26,0.24,0.62,10.72,0.35,,0.00%,0.66,-62.20%,-43.92%,-24.60%,20.00%,2.90%,67.10%,-11.00%,22.69,13.76,13.80%,0.00%,49.60%,-1.14%,3.21%,24.58,0.60%,9.60%,0.20%,,,17.33,17.33,66.90%,9.50%,4.70%,2.72%,3.03%,16.04%,178.69%,-5.03%,0.89%,2.61,0.19,5.49%,5.89%,1.59%,3.32%,13.88%,-8.85%,13.33%,-20.93%,240.00%,53.62,2.41%,0.61%,2,17.96,0.62,3.4,3.03%,11005,7/22/2020 8:30:00 AM,3.17,10/22/1992,3.2,-5.88%
1090,CCM,Concord Medical Services Holdings Limited,Healthcare,Medical Care Facilities,China,79.6,,,,2.99,,0.9,,,,-1,-30.60%,36.40%,-39.10%,20.00%,-20.00%,-0.40%,-21.00%,43.41,23.09,18.00%,0.00%,1.30%,-0.90%,0.01%,0.12,-6.30%,-850.00%,-26.60%,1.2,1.2,,,-12.30%,,,-6.00%,-8.42%,13.94%,16.05%,-25.40%,-29.53%,0.25,0.07,3.38%,1.91%,-8.39%,-1.94%,-6.21%,-13.76%,18.99%,-35.62%,66.37%,38.62,-3.09%,-1.77%,,24.75,0.07,1.88,-4.81%,1621,8/26/2020 8:30:00 AM,1.2,12/11/2009,,
4762,NMRD,Nemaura Medical Inc.,Healthcare,Medical Devices,USA,78.32,,,,,38.56,,,,,-0.19,18.80%,,-24.80%,,,12.50%,,20.88,8.76,68.01%,0.00%,3.60%,,1.02%,1.3,-106.90%,,,2.4,2.3,1.1,2.35,,,,-3.88%,-9.64%,-59.51%,-42.07%,-54.04%,-0.86%,-0.55,0.34,11.43%,9.15%,-10.39%,-31.54%,-39.58%,-67.45%,11.31%,-78.97%,38.80%,28.35,-4.67%,2.54%,2,68.72,1.87,3.47,-2.25%,125809,,,12/18/2014,3.47,0.00%
75,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,77.93,12.73,11.1,1.27,0.52,1.35,14.99,10.12,2.02%,24.70%,1.87,23.00%,11.46%,3.30%,10.00%,5.80%,19.90%,9.50%,3.35,2.92,1.00%,0.00%,65.80%,0.94%,0.11%,0.34,5.70%,11.50%,8.00%,4.2,2,0.72,0.72,36.50%,6.30%,4.30%,7.17%,6.36%,8.49%,17.28%,18.67%,-0.13%,0.99,0.98,3.17%,4.37%,4.41%,4.17%,6.15%,-2.62%,12.18%,-4.64%,38.95%,59.17,1.15%,2.01%,1,9.36,1.68,23.76,3.18%,15520,7/17/2020 8:30:00 AM,26,10/3/1977,23.74,-0.08%
7424,XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust,Financial,Closed-End Fund - Debt,USA,77.07,,,,,,,,11.92%,,,,,,,,,,12.76,,12.59%,0.00%,19.58%,,,0.18,,,,,,,,,,,1.51%,-0.58%,2.72%,35.12%,-31.13%,-25.34%,,0.08,1.48%,1.34%,0.10%,0.28%,-2.75%,-3.05%,3.42%,-33.63%,64.58%,53.59,0.33%,0.50%,,50.1,0.86,6.04,0.83%,43353,,,9/27/2017,6.15,1.82%
1507,CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services,USA,77.06,13.26,14.11,0.88,0.21,0.98,2.25,2.45,,0.00%,0.38,244.40%,9.09%,-14.30%,15.00%,0.00%,81.80%,-11.30%,13.61,12.56,3.90%,0.00%,48.30%,-0.62%,0.09%,0.65,3.40%,8.10%,6.60%,2,2,0.17,0.17,20.10%,2.10%,1.50%,3.89%,5.83%,24.36%,42.70%,2.63%,-1.93%,0.79,0.16,2.38%,2.96%,2.44%,4.24%,7.33%,-5.58%,13.27%,-21.60%,77.62%,57.67,1.60%,0.60%,1,16.67,1.16,5.08,2.21%,19654,7/21/2020 8:30:00 AM,6.25,3/25/1980,5.02,-1.18%
